species
Abelmoschus manihot
Rauvolfia vomitoria
Ravenala madagascariensis
Reholttumia hudsoniana
Reholttumia truncata
Reichardia picroides
Reichardia tingitana
Remya kauaiensis
Remya mauiensis
Reticulocaulis mucosissimus
Rhaphiolepis bibas
Rhizoclonium hieroglyphicum
Rhizoclonium riparium
Rhizophora mangle
Rhodobryum giganteum
Rhododendron simsii
Rhodomyrtus tomentosa
Rhodymenia leptophylla
Rhus sandwicensis
Rhynchospora caduca
Rhynchospora chinensis
Rhynchospora globularis
Rhynchospora radicans
Rhynchospora rugosa
Rhynchospora sclerioides
Rhynchostegium celebicum
Rhynchostegium muelleri
Riccardia attenuata
Riccardia multifida
Riccardia pectinata
Riccia hawaiiensis
Richardia scabra
Ricinus communis
Rivina humilis
Rorippa sarmentosa
Rosa damascena
Rosa laevigata
Rosa rugosa
Rosulabryum capillare
Rotheca myricoides
Roystonea regia
Rubus argutus
Rubus armeniacus
Rubus ellipticus
Rubus glaucus
Rubus hawaiensis
Rubus macraei
Rubus niveus
Rubus rosifolius
Rubus sieboldii
Ruellia blechum
Ruellia brevifolia
Ruellia chartacea
Ruellia prostrata
Ruellia simplex
Ruellia squarrosa
Ruizia ferruginea
Rumex acetosella
Rumex albescens
Rumex crispus
Rumex giganteus
Rumex obtusifolius
Rumex skottsbergii
Ruppia maritima
Russelia equisetiformis
Rytidosperma biannulare
Rytidosperma penicillatum
Rytidosperma pilosum
Sabal mauritiiformis
Saccharum officinarum
Saccharum sinense
Saccharum spontaneum
Sacciolepis indica
Sadleria cyatheoides
Sadleria pallida
Sadleria souleyetiana
Sadleria souleytiana
Sadleria squarrosa
Sadleria unisora
Sadleria wagneriana
Saelania glaucescens
Sagina procumbens
Sagittaria latifolia
Sahlingia subintegra
Salsola tragus
Salvia coccinea
Salvia occidentalis
Salvia splendens
Salvinia molesta
Samanea saman
Sambucus canadensis
Sambucus mexicana
Sanchezia oblonga
Sanchezia parvibracteata
Sandoricum koetjape
Sanicula purpurea
Sanicula sandwicensis
Santalum album
Santalum ellipticum
Santalum freycinetianum
Santalum haleakalae
Santalum paniculatum
Sapindus oahuensis
Sapindus saponaria
Saraca declinata
Saraca thaipingensis
Sararanga sinuosa
Sauvagesia erecta
Scaevola chamissoniana
Scaevola coriacea
Scaevola gaudichaudiana
Scaevola gaudichaudii
Scaevola glabra
Scaevola kilaueae
Scaevola mollis
Scaevola procera
Scaevola taccada
Scapania ciliata
Sceptridium subbifoliatum
Schenkia sebaeoides
Schiedea adamantis
Schiedea apokremnos
Schiedea diffusa
Schiedea globosa
Schiedea helleri
Schiedea hookeri
Schiedea jacobii
Schiedea kealiae
Schiedea ligustrina
Schiedea lychnoides
Schiedea lydgatei
Schiedea menziesii
Schiedea perlmanii
Schiedea pubescens
Schiedea salicaria
Schiedea sarmentosa
Schiedea spergulina
Schiedea stellarioides
Schiedea trinervis
Schiedea viscosa
Schinus areira
Schinus molle
Schinus terebinthifolia
Schistidium scabrifolium
Schizachyrium condensatum
Schizachyrium microstachyum
Schizomeris leibleinii
Schizostachyum glaucifolium
Schoenoplectiella juncoides
Schoenoplectiella mucronata
Schoenoplectus californicus
Schoenoplectus tabernaemontani
Schoenus apogon
Scinaia furcellata
Scinaia hormoides
Sciuro-hypnum plumosum
Scleria testacea
Sechium edule
Seirospora orientalis
Selaginella arbuscula
Selaginella deflexa
Selaginella flabellata
Selaginella kraussiana
Selaginella menziesii
Selenicereus anthonyanus
Selenicereus pteranthus
Selenicereus undatus
Sematophyllum hawaiiense
Sematophyllum mundulum
Semecarpus nigroviridis
Senecio madagascariensis
Senecio sylvaticus
Senna alata
Senna didymobotrya
Senna gaudichaudii
Senna obtusifolia
Senna occidentalis
Senna pendula
Senna septemtrionalis
Senna siamea
Senna spectabilis
Senna surattensis
Sequoia sempervirens
Sesbania grandiflora
Sesbania tomentosa
Sesuvium portulacastrum
Sesuvium revolutifolium
Setaria adhaerens
Setaria palmifolia
Setaria parviflora
Setaria sphacelata
Setaria verticillata
Sherardia arvensis
Sicyos alba
Sicyos anunu
Sicyos cucumerinus
Sicyos erostratus
Sicyos hillebrandii
Sicyos hispidus
Sicyos lasiocephalus
Sicyos macrophylla
Sicyos pachycarpa
Sida acuta
Sida ciliaris
Sida cordifolia
Sida fallax
Sida planicaulis
Sida rhombifolia
Sida spinosa
Sidastrum micranthum
Sidastrum multiflorum
Sideroxylon cinereum
Sideroxylon persimile
Sideroxylon polynesicum
Sieruela rutidosperma
Sigesbeckia orientalis
Sigmoidotropis speciosa
Silene gallica
Silene hawaiiensis
Silene lanceolata
Silene struthioloides
Silybum marianum
Siphonocladus tropicus
Sisymbrium altissimum
Sisymbrium officinale
Sisyrinchium acre
Sisyrinchium micranthum
Smilax melastomifolia
Solandra maxima
Solanum americanum
Solanum aviculare
Solanum capsicoides
Solanum incompletum
Solanum linnaeanum
Solanum lycopersicum
Solanum mauritianum
Solanum melongena
Solanum nelsonii
Solanum opacum
Solanum pseudocapsicum
Solanum sandwicense
Solanum seaforthianum
Solanum torvum
Solanum wrightii
Solenostoma exsertum
Solenostoma micranthum
Soliva sessilis
Sonchus asper
Sonchus oleraceus
Sophora chrysophylla
Sophora tomentosa
Sorghum bicolor
Sorghum drummondii
Sorghum halepense
Spathiphyllum wallisii
Spathodea campanulata
Spathoglottis plicata
Spergularia marina
Spermacoce exilis
Spermacoce latifolia
Spermacoce ocymifolia
Spermacoce prostrata
Spermacoce remota
Spermolepis hawaiiensis
Sphaeropteris cooperi
Sphagneticola trilobata
Sphagnum palustre
Spirodela polyrhiza
Spirodela punctata
Spondias dulcis
Spongoclonium caribaeum
Sporobolus africanus
Sporobolus coromandelianus
Sporobolus diandrus
Sporobolus domingensis
Sporobolus elongatus
Sporobolus fertilis
Sporobolus indicus
Sporobolus pyramidatus
Sporobolus virginicus
Sporolithon ptychoides
Spruceanthus planiusculus
Spruceanthus polymorphus
Spyridia filamentosa
Stachys arvensis
Stachytarpheta cayennensis
Stachytarpheta jamaicensis
Stachytarpheta mutabilis
Stachytarpheta urticifolia
Stellaria media
Stenogrammitis saffordii
Stenogyne angustifolia
Stenogyne calaminthoides
Stenogyne kaalae
Stenogyne kamehamehae
Stenogyne macrantha
Stenogyne microphylla
Stenogyne purpurea
Stenogyne rotundifolia
Stenogyne rugosa
Stenogyne scrophularioides
Stenogyne sessilis
Stenopeltis gracilis
Stenotaphrum secundatum
Stephanotis floribunda
Sterculia apetala
Sterculia foetida
Sterculia rhynchocarpa
Sterculia tragacantha
Sticherus owhyhensis
Stichococcus subtilis
Stictocardia tiliifolia
Stifftia chrysantha
Stigeoclonium amoenum
Strelitzia alba
Streptosolen jamesonii
Strobilanthes reptans
Stromanthe thalia
Stromanthe tonckat
Strongylodon ruber
Strophanthus sarmentosus
Stylonema alsidii
Stylosanthes scabra
Stylosanthes viscosa
Swietenia mahagoni
Symphyocladia marchantioides
Symphyodon chrysobasilaris
Symphyodon pygmaeus
Symphyogyna semi-involucrata
Symphyotrichum expansum
Syncarpia glomulifera
Synedrella nodiflora
Syngonium angustatum
Syngonium podophyllum
Syrrhopodon armatus
Syrrhopodon gaudichaudii
Syrrhopodon semiliber
Syzygium cumini
Syzygium jambos
Syzygium malaccense
Syzygium richii
Syzygium sandwicense
Tabebuia aurea
Tabebuia heterophylla
Tabebuia pallida
Tabebuia rosea
Tabernaemontana litoralis
Tabernaemontana pandacaqui
Tacca chantrieri
Tacca leontopetaloides
Taenioma perpusillum
Tagetes minuta
Talinum fruticosum
Talinum paniculatum
Talipariti elatum
Talipariti tiliaceum
Tamarindus indica
Tamarix aphylla
Tapeinochilos ananassae
Taraxacum officinale
Targionia hypophylla
Tarlmounia elliptica
Taxodium distichum
Tecoma castanifolia
Tecoma stans
Tecomaria capensis
Tectaria cicutaria
Tectaria gaudichaudii
Tectaria incisa
Tectona grandis
Telaranea nematodes
Tephrosia candida
Tephrosia purpurea
Terminalia carolinensis
Terminalia catappa
Terminalia melanocarpa
Terminalia myriocarpa
Tetragonia echinata
Tetragonia tetragonioides
Tetragonia tetragonoides
Tetramolopium arenarium
Tetramolopium consanguineum
Tetramolopium humile
Tetramolopium lepidotum
Tetramolopium remyi
Tetramolopium rockii
Tetramolopium sylvae
Tetrapanax papyrifer
Tetrastigma pubinerve
Thalia geniculata
Thamnobryum speciosum
Thaumatophyllum spruceanum
Themeda villosa
Thespesia grandiflora
Thespesia populnea
Thevetia ahouai
Thuidium cymbifolium
Thunbergia alata
Thunbergia erecta
Thunbergia fragrans
Thunbergia grandiflora
Thunbergia laurifolia
Thunbergia mysorensis
Thymophylla pentachaeta
Thymophylla tenuiloba
Thysanolaena latifolia
Tiffaniella saccarhiza
Tillandsia gardneri
Tillandsia polystachia
Tillandsia recurvata
Tillandsia usneoides
Titanophora pikeana
Titanophycus validus
Tithonia diversifolia
Tolypiocladia calodictyon
Tolypiocladia glomerulata
Toona ciliata
Torenia asiatica
Torenia crustacea
Touchardia latifolia
Touchardia oahuensis
Trachelospermum jasminoides
Trachypodopsis auriculata
Trachypus bicolor
Trachypus humilis
Tradescantia fluminensis
Tradescantia pallida
Tradescantia spathacea
Tradescantia zebrina
Tragus berteronianus
Trema orientale
Trematodon latinervis
Trematolobelia grandifolia
Trematolobelia kaalae
Trematolobelia kauaiensis
Trematolobelia macrostachys
Trematolobelia singularis
Trematolobelia wimmeri
Trentepohlia abietina
Trentepohlia arborum
Trentepohlia aurea
Trentepohlia umbrina
Trevesia palmata
Trevesia sundaica
Trianthema portulacastrum
Tribulus cistoides
Tribulus terrestris
Trichocentrum splendidum
Trichogloea lubrica
Trichogloea requienii
Trichogloeopsis hawaiiana
Trichogloeopsis mucosissima
Trichostomum crispulum
Tricleocarpa cylindrica
Tricleocarpa fragilis
Tridax procumbens
Trifolium arvense
Trifolium dubium
Trifolium pratense
Trifolium repens
Trimezia candida
Trimezia gracilis
Trimezia martinicensis
Trimezia steyermarkii
Trisetum glomeratum
Tristellateia australasiae
Triumfetta rhomboidea
Triumfetta semitriloba
Tropaeolum majus
Turnera ulmifolia
Typha latifolia
Typhonodorum lindleyanum
Udotea javensis
Ulex europaeus
Ulota crispa
Ulva compressa
Ulva expansa
Ulva flexuosa
Ulva intestinalis
Ulva kylinii
Ulva lactuca
Ulva linza
Ulva paradoxa
Ulva prolifera
Ulva reticulata
Ulva rigida
Ulva taeniata
Urena lobata
Urochloa brizantha
Urochloa distachyos
Urochloa eminii
Urochloa glumaris
Urochloa mutica
Urochloa plantaginea
Urochloa ramosa
Urochloa reptans
Urtica urens
Vaccinium calycinum
Vaccinium dentatum
Vaccinium reticulatum
Vachellia farnesiana
Vaginularia paradoxa
Vallisneria spiralis
Valonia aegagropila
Valonia utricularis
Valonia ventricosa
Vanda tricolor
Vandenboschia cyrtotheca
Vandenboschia davallioides
Vandenboschia davalloides
Vandenboschia radicans
Vandenboschia tubiflora
Vanilla planifolia
Verbascum thapsus
Verbascum virgatum
Verbena litoralis
Verbesina encelioides
Veronica arvensis
Veronica javanica
Veronica peregrina
Veronica plebeia
Veronica serpyllifolia
Vesicularia perviridis
Vicia sativa
Vicia tenuifolia
Vicia villosa
Vigna hosei
Vigna luteola
Vigna marina
Vigna owahuensis
Vigna vexillata
Vinca major
Viola banksii
Viola chamissoniana
Viola hederacea
Viola kauaensis
Viola lanaiensis
Viola maviensis
Viola odorata
Viola robusta
Viola tracheliifolia
Viola wailenalenae
Vitex parviflora
Vitex pinnata
Vitex rotundifolia
Vitex trifolia
Volkameria inermis
Wahlenbergia gracilis
Wahlenbergia marginata
Waltheria indica
Warszewiczia coccinea
Washingtonia filifera
Washingtonia robusta
Watsonia borbonica
Weissia controversa
Weissia ovalis
Werauhia gladioliflora
Werauhia sanguinolenta
Wiesnerella denudata
Wikstroemia bicornuta
Wikstroemia forbesii
Wikstroemia furcata
Wikstroemia monticola
Wikstroemia oahuensis
Wikstroemia phillyreifolia
Wikstroemia pulcherrima
Wikstroemia sandwicensis
Wikstroemia uva-ursi
Wilkesia gymnoxiphium
Wissadula hernandioides
Wrangelia penicillata
Wurdemannia miniata
Xanthium strumarium
Xanthosoma robustum
Xanthosoma sagittifolium
Xylosma crenata
Xylosma hawaiense
Xyris complanata
Xyris platylepis
Yamadaella caenomyce
Youngia japonica
Yucca aloifolia
Zantedeschia aethiopica
Zanthoxylum dipetalum
Zanthoxylum hawaiiense
Zanthoxylum kauaense
Zephyranthes carinata
Zephyranthes citrina
Zeuxine strateumatica
Zingiber officinale
Zingiber spectabile
Zingiber zerumbet
Zinnia elegans
Zinnia peruviana
Zornia latifolia
Zoysia matrella
Zygodon rubrigemmius
Zygodon tetragonostomus
